ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,btc_halving,btc_halving_lower,btc_halving_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat,yhat_moving_avg_7,yhat_moving_avg_14,yhat_moving_avg_28,yhat_moving_avg_90
2025-12-07,95457.62262284239,67362.32648709904,130275.3936771468,95457.62262284239,95457.62262284239,0.0,0.0,0.0,0.0,0.0,0.0,0.03030139750683121,0.03030139750683121,0.03030139750683121,0.011606823199423008,0.011606823199423008,0.011606823199423008,0.018694574307408205,0.018694574307408205,0.018694574307408205,0.0,0.0,0.0,98350.12199099422,97466.63952119676,98155.61352451735,100054.07723372031,102789.6583446746
2025-12-09,95527.02675780792,65712.18927631096,129670.90702456523,95527.02675780792,95527.02675780792,0.0,0.0,0.0,0.0,0.0,0.0,0.016653035248909074,0.016653035248909074,0.016653035248909074,-0.001129316624136436,-0.001129316624136436,-0.001129316624136436,0.01778235187304551,0.01778235187304551,0.01778235187304551,0.0,0.0,0.0,97117.84170162918,97365.68644645294,97965.9333086625,99844.01806838937,102716.34288534988
2025-12-10,95561.72882529066,65707.57133578972,127849.67311167723,95561.72882529066,95561.72882529066,0.0,0.0,0.0,0.0,0.0,0.0,0.012658297722508626,0.012658297722508626,0.012658297722508626,-0.004849221422037714,-0.004849221422037714,-0.004849221422037714,0.01750751914454634,0.01750751914454634,0.01750751914454634,0.0,0.0,0.0,96771.37763963883,97254.41921073459,97783.4105839432,99625.72754227571,102642.36197417621
2025-12-11,95596.43089277342,67128.41881311923,129565.7013069461,95596.43089277342,95596.43089277342,0.0,0.0,0.0,0.0,0.0,0.0,0.018303895611938497,0.018303895611938497,0.018303895611938497,0.0010087539000109998,0.0010087539000109998,0.0010087539000109998,0.017295141711927496,0.017295141711927496,0.017295141711927496,0.0,0.0,0.0,97346.21798470865,97295.61738634326,97690.56746219631,99442.35862490544,102580.61408442822
2025-12-12,95631.1329602562,64863.555719082135,127301.25390252538,95631.1329602562,95631.1329602562,0.0,0.0,0.0,0.0,0.0,0.0,0.011071633041006446,0.011071633041006446,0.011071633041006446,-0.006030830227517615,-0.006030830227517615,-0.006030830227517615,0.01710246326852406,0.01710246326852406,0.01710246326852406,0.0,0.0,0.0,96689.92577168786,97178.7479918036,97533.06040925978,99219.0585248691,102507.45970169934
2025-12-13,95665.83502773895,63396.882962631455,129995.18456687899,95665.83502773895,95665.83502773895,0.0,0.0,0.0,0.0,0.0,0.0,0.016302274501911226,0.016302274501911226,0.016302274501911226,-0.0005869516942268238,-0.0005869516942268238,-0.0005869516942268238,0.01688922619613805,0.01688922619613805,0.01688922619613805,0.0,0.0,0.0,97225.4057308157,97245.80722098755,97481.9929539276,99043.45748502931,102449.16227000534
2025-12-14,95700.5370952217,67583.6332079529,131455.98836448326,95700.5370952217,95700.5370952217,0.0,0.0,0.0,0.0,0.0,0.0,0.028225736203214256,0.028225736203214256,0.028225736203214256,0.011606823199429048,0.011606823199429048,0.011606823199429048,0.016618913003785204,0.016618913003785204,0.016618913003785204,0.0,0.0,0.0,98401.75520977736,97414.66371846455,97496.42432516145,98897.68465764057,102399.70012736341
2025-12-15,95735.23916270447,64831.43011362483,130167.94525374423,95735.23916270447,95735.23916270447,0.0,0.0,0.0,0.0,0.0,0.0,0.01624055952400941,0.01624055952400941,0.01624055952400941,-1.925713155277809e-05,-1.925713155277809e-05,-1.925713155277809e-05,0.01625981665556219,0.01625981665556219,0.01625981665556219,0.0,0.0,0.0,97290.03301287165,97263.2224358756,97364.93097853617,98678.53961854761,102326.31038286527
2025-12-16,95769.94123018724,66050.24675486617,128719.64095868806,95769.94123018724,95769.94123018724,0.0,0.0,0.0,0.0,0.0,0.0,0.014656590161338495,0.014656590161338495,0.014656590161338495,-0.0011293166241383974,-0.0011293166241383974,-0.0011293166241383974,0.01578590678547689,0.01578590678547689,0.01578590678547689,0.0,0.0,0.0,97173.60200857357,97271.18819401052,97318.43732023172,98503.40892724495,102264.08491697318
2025-12-17,95804.64329767,63692.41219997573,124600.12404322666,95804.64329767,95804.64329767,0.0,0.0,0.0,0.0,0.0,0.0,0.01032824461915337,0.01032824461915337,0.01032824461915337,-0.004849221422044185,-0.004849221422044185,-0.004849221422044185,0.015177466041197556,0.015177466041197556,0.015177466041197556,0.0,0.0,0.0,96794.13708929907,97274.43954396198,97264.42937734828,98328.43478462027,102198.78076835943
