ds,y,y_moving_avg_7,y_moving_avg_14,y_moving_avg_28,y_moving_avg_90
2022-09-30,19704.5,19304.480639537862,19410.426341840543,19207.291896496758,19790.533432400844
2022-09-29,19315.804556638126,19390.909210966434,19361.676341840543,19180.726897727345,19794.76621248229
2022-09-29,19322.540455120103,19489.222845732416,19335.890026598587,19174.284355277116,19803.638917047196
2022-09-28,19106.819374262726,19533.802789890848,19317.443865651516,19167.288162893583,19812.86068976808
2022-09-28,19230.0,19614.883407198122,19314.136988072376,19170.9129173842,19822.039643504788
2022-09-28,19145.700090744103,19584.194023076958,19295.336324025826,19173.252203098487,19830.20464350479
2022-09-28,19306.0,19567.648529419712,19282.946410838565,19167.901984904,19839.0399202743
2022-09-27,20309.5,19516.372044143227,19252.318859818155,19155.81524496151,19846.13922398215
2022-09-27,20004.0,19332.443472714654,19182.10457410387,19105.83310210437,19842.67672398215
2022-09-27,19634.600064229093,19182.557207464753,19109.457741000002,19081.380721151992,19844.53144311997
2022-09-27,19674.38369541365,19101.084941412188,19068.414879269352,19085.926639090478,19850.646957710866
2022-09-26,19015.17431115186,19013.390568946634,19004.601758168377,19087.642102349517,19855.377944712633
2022-09-26,19029.88163514338,19006.478624974694,19003.13874861606,19114.540156276602,19862.764896810946
2022-09-25,18947.064603064602,18998.24429225742,18998.923970419488,19134.502716926243,19874.907878642687
2022-09-25,19022.0,18988.265675493087,19004.157451152972,19170.286084327865,19887.12678926197
2022-09-25,18954.79614325069,19031.765675493087,18999.777453614137,19198.94679861358,19897.891953279617
2022-09-24,19064.294201861132,19036.358274535254,19012.678683955648,19234.38918698664,19911.094218354607
2022-09-24,19060.523088154772,19035.74481712652,19017.13246013565,19254.95587746966,19921.403252686076
2022-09-23,18966.79070334828,18995.812947390128,19027.688846696026,19275.72081557073,19931.25855170658
2022-09-23,18972.24130612245,18999.79887225742,19051.16808217115,19299.024719022575,19942.19557915024
2022-09-23,18877.214285714286,18999.603648581564,19052.85755896944,19334.29625829886,19952.860198496663
2022-09-23,19326.5,19020.04922681285,19059.311630104872,19376.238605237635,19963.23073421095
2022-09-22,18986.94433654586,18967.78923173519,19029.561630104872,19398.33648863807,19967.339067544282
2022-09-22,19060.0,18988.99909337604,19053.30370130398,19440.6959579683,19979.38442550105
2022-09-22,18781.0,18998.520103144783,19103.438398911607,19480.085345736134,19991.433499575127
2022-09-22,18994.692177419354,19059.564746001928,19170.68244653065,19565.04103356682,20005.845066592916
2022-09-21,18970.874740391428,19102.53729208487,19225.941563937144,19665.21497365899,20025.3918591635
2022-09-21,19020.333333333332,19106.111469357325,19270.081463432994,19755.74246308945,20048.598840083294
